Usuario,Importe,Operacion,Categoria,Descripcion,Adjunto,Creacion,Fecha_operacion
Luchita,465,Gasto,Compra a Keylita,"Pago de pedido a Keylita ",https://res.cloudinary.com/gscloudinary/image/upload/v1669774111/conta-fam/rlfjzd8grstcrxpqaub0.jpg,"November 29, 2022 9:08 PM","November 29, 2022"
Luchita,39,Ingreso,Familiares,Pedido Aurora,https://res.cloudinary.com/gscloudinary/image/upload/v1670389713/conta-fam/qzphdto0kwkvzynco02d.jpg,"December 7, 2022 12:08 AM","November 23, 2022"
Luchita,15,Gasto,Recojo de chifles,Recojo chifles en agencia,https://res.cloudinary.com/gscloudinary/image/upload/v1668803609/conta-fam/l0idyt7wbkdspyzwu6dm.jpg,"November 18, 2022 3:33 PM","November 18, 2022"
Luchita,459,Gasto,Compra a Keylita,"Keylita 
",https://res.cloudinary.com/gscloudinary/image/upload/v1668648791/conta-fam/efku2l4bx6tvx1qkosks.jpg,"November 16, 2022 8:33 PM","November 16, 2022"
Juanito,22.5,Ingreso,Otros,De Barranco,https://res.cloudinary.com/gscloudinary/image/upload/v1668627910/conta-fam/estmpwweypykcrlmqe1i.jpg,"November 16, 2022 2:45 PM","November 16, 2022"
Luchita,658.12,Ingreso,SENASA,"Pago de las 3 últimas facturas ",https://res.cloudinary.com/gscloudinary/image/upload/v1668569380/conta-fam/qn1y4k0k30pnfwkmtbqd.jpg,"November 15, 2022 10:29 PM","November 15, 2022"
Luchita,64.5,Ingreso,Otros,Flor Jara,https://res.cloudinary.com/gscloudinary/image/upload/v1667308388/conta-fam/etdilrmqsofset5flbz8.jpg,"November 1, 2022 8:13 AM","October 28, 2022"
Luchita,32.5,Ingreso,Familiares,"Pedido Aurora ",https://res.cloudinary.com/gscloudinary/image/upload/v1667308286/conta-fam/qsytkgqy2lumi5kjmdrc.jpg,"November 1, 2022 8:11 AM","October 24, 2022"
Luchita,563.36,Ingreso,SENASA,Pago de 2 facturas de Senasa,https://res.cloudinary.com/gscloudinary/image/upload/v1666326584/conta-fam/pfarervxeh0q2n5oovix.jpg,"October 20, 2022 11:29 PM","October 20, 2022"
Luchita,150,Gasto,Materiales,Pago de etiquetas,,"October 20, 2022 11:32 PM","October 17, 2022"
Luchita,16,Gasto,Materiales,Copra de bolsas,https://res.cloudinary.com/gscloudinary/image/upload/v1666326436/conta-fam/n3ufv2xrftztglxmtqy9.jpg,"October 20, 2022 11:27 PM","October 16, 2022"
Luchita,123,Gasto,Otros,"Devolución de préstamo para último pago a Keylita ",https://res.cloudinary.com/gscloudinary/image/upload/v1666326939/conta-fam/sh3azyltlz9jk8pwu6rz.jpg,"October 20, 2022 11:35 PM","October 15, 2022"
Luchita,15,Gasto,Recojo de chifles,Recojo chifles,https://res.cloudinary.com/gscloudinary/image/upload/v1666326374/conta-fam/wuxlvq6q0pdzdjgyywm9.jpg,"October 20, 2022 11:26 PM","October 15, 2022"
Luchita,468,Gasto,Compra a Keylita,Para este pago presté 123 soles,https://res.cloudinary.com/gscloudinary/image/upload/v1665836891/conta-fam/axqxvnbwpzblv9gmogia.jpg,"October 15, 2022 7:28 AM","October 15, 2022"
Luchita,114,Ingreso,Trabajo Lucha,"Llevados a oficina 4 y 10/10, ya saldados",https://res.cloudinary.com/gscloudinary/image/upload/v1665835942/conta-fam/n5xzboyjhst3bopoybbk.jpg,"October 15, 2022 7:12 AM","October 14, 2022"
Luchita,45.5,Ingreso,Familiares,Pago de pedido de Elena del sábado 8/10 y S/6.50 Marita,https://res.cloudinary.com/gscloudinary/image/upload/v1665835816/conta-fam/flw19lmaeb2klrvy4plf.jpg,"October 15, 2022 7:10 AM","October 14, 2022"
Luchita,28,Ingreso,Otros,"Amiga De Mirtha, Janeth ",https://res.cloudinary.com/gscloudinary/image/upload/v1665327197/conta-fam/x1xfyima6nu3eshtwh1z.jpg,"October 9, 2022 9:53 AM","October 6, 2022"
Luchita,39,Ingreso,Familiares,Aurora,https://res.cloudinary.com/gscloudinary/image/upload/v1665327130/conta-fam/u8e7rvsnsva82aqoclpx.jpg,"October 9, 2022 9:52 AM","October 6, 2022"
Luchita,15,Gasto,Recojo de chifles,Recojo chifles,https://res.cloudinary.com/gscloudinary/image/upload/v1665327407/conta-fam/eixrj79pfhor1rtk7bru.jpg,"October 9, 2022 9:56 AM","October 3, 2022"
Luchita,158.7,Gasto,Otros,Devolución a mi para pago a Keylita del 28/9,,"October 9, 2022 9:47 AM","September 30, 2022"
Luchita,292.7,Ingreso,SENASA,Adjunto yape a mi cuenta. Me tienen que devolver S/158.70,https://res.cloudinary.com/gscloudinary/image/upload/v1665326661/conta-fam/vx70meu2apkq63l8hohh.jpg,"October 9, 2022 9:44 AM","September 30, 2022"
Luchita,420,Gasto,Compra a Keylita,Compra a Keylita. Se Prestó la diferencia 211 soles,https://res.cloudinary.com/gscloudinary/image/upload/v1664393473/conta-fam/cevxah5zfd4dkfuxwsru.jpg,"September 28, 2022 2:31 PM","September 28, 2022"
Luchita,11,Gasto,Otros,X declaración impuesto factura senasa,https://res.cloudinary.com/gscloudinary/image/upload/v1664244484/conta-fam/wijvdxkspzk2751osgyv.jpg,"September 26, 2022 9:08 PM","September 26, 2022"
Luchita,21,Ingreso,Familiares,Pedido de Kavier Hong,https://res.cloudinary.com/gscloudinary/image/upload/v1664239846/conta-fam/uumzlbo5vhzx9rviqjeo.jpg,"September 26, 2022 7:50 PM","September 24, 2022"
Luchita,14,Ingreso,Familiares,Pedido Marita del 16/9,https://res.cloudinary.com/gscloudinary/image/upload/v1663990808/conta-fam/fghlrl3g0is147qapjio.jpg,"September 23, 2022 10:40 PM","September 23, 2022"
Luchita,400,Gasto,Otros,PARA PAGO DE PAPELETA,https://res.cloudinary.com/gscloudinary/image/upload/v1663902673/conta-fam/x5hdwzkq4mdgobzp1wj8.jpg,"September 22, 2022 10:11 PM","September 22, 2022"
Luchita,42,Ingreso,Otros,Pedido a Janeth Amiga De Mirtha,https://res.cloudinary.com/gscloudinary/image/upload/v1663897819/conta-fam/s9eyhtwgh76tjgdrotax.jpg,"September 22, 2022 8:50 PM","September 22, 2022"
Luchita,496,Ingreso,Trabajo Lucha,Del 21/7 al 20/9,https://res.cloudinary.com/gscloudinary/image/upload/v1663897598/conta-fam/y9vpcdl2zzdyoxor6vh0.jpg,"September 22, 2022 8:46 PM","September 22, 2022"
Luchita,520,Gasto,Otros,Mantenimiento camioneta,https://res.cloudinary.com/gscloudinary/image/upload/v1663392952/conta-fam/uqjjjyo8cp4mtb7jasmd.jpg,"September 17, 2022 12:35 AM","September 16, 2022"
Luchita,26,Ingreso,Familiares,AURORA,https://res.cloudinary.com/gscloudinary/image/upload/v1663210134/conta-fam/ik7w9bcvusg41f5oveas.jpg,"September 14, 2022 9:48 PM","September 14, 2022"
Juanito,30,Ingreso,Familiares,"Pago de Mirtha ",https://res.cloudinary.com/gscloudinary/image/upload/v1663209846/conta-fam/elrqsg07v5ks80ewbrip.jpg,"September 14, 2022 9:44 PM","September 14, 2022"
Luchita,311.9,Ingreso,SENASA,Senasa pagó  2 pedidos chicos,https://res.cloudinary.com/gscloudinary/image/upload/v1663036328/conta-fam/l0q81jca7faakkmoj6ii.jpg,"September 12, 2022 9:32 PM","September 12, 2022"
Luchita,300,Gasto,Otros,"PAGO DE ARBITRIOS, CASA",https://res.cloudinary.com/gscloudinary/image/upload/v1662953203/conta-fam/w9ixvirpipevkfsbumaf.jpg,"September 11, 2022 10:26 PM","September 11, 2022"
Luchita,39,Ingreso,Familiares,Aurora,https://res.cloudinary.com/gscloudinary/image/upload/v1663209670/conta-fam/gx66jgcaca7nlyqpcyqa.jpg,"September 14, 2022 9:41 PM","September 3, 2022"
